信息_链接,岗位名称,薪水,技能关键词,标签,工作经验,学历要求,工作地点,公司名称,公司信息,公司标签,其它信息,最低薪资,最高薪资,薪资单位,年薪月数,平均月薪,公司类型,公司规模,所属行业,城市,区域
http://www.zhaopin.com/jobdetail/CC277720610J40933361208.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,python工程师/算法工程师,1.1-1.8万·13薪,Flask PostgreSQL MySQL Redis Java JavaScript 若依框架,Flask,5-10年,本科,福州·台江·宁化,福州捷盈计算机技术有限公司,民营 20-99人 软件/IT服务,李先生·技术总监,高回复率,11000.0,18000.0,万,13.0,14500.0,民营,20-99人,软件/IT服务,福州,台江
http://www.zhaopin.com/jobdetail/CC385622410J40776302706.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,python后端开发工程师,1-1.3万,银行,银行,3-5年,本科,福州·台江·鳌峰,深圳市法本信息技术股份有限公司,上市公司 1000-9999人 软件/IT服务,吕先生·招聘专员,1小时内回复可能性大,10000.0,13000.0,万,12.0,11500.0,上市公司,1000-9999人,软件/IT服务,福州,台江
http://www.zhaopin.com/jobdetail/CCL1291433310J40840895809.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,AI + Python API 自动化工程师（亚马逊运营系统方向）,1.2-1.8万·15薪,REST API,REST API,3-5年,本科,福州·鼓楼·洪山,海卖(福州)网络科技有限公司,民营 20-99人 互联网电商,余春姿·人事经理,3日内活跃,12000.0,18000.0,万,15.0,15000.0,民营,20-99人,互联网电商,福州,鼓楼
http://www.zhaopin.com/jobdetail/CC368687730J40935197415.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,IT工程师（制造业 c# python）,6000-9000元,Python C C# ERP二开 U9 桌面运维,Python,1-3年,本科,福州·马尾·马尾,福建坤兴海洋股份有限公司,民营 500-999人 食品/饮料/酒水批发/零售/贸易,陈先生·人事经理,高回复率,6000.0,9000.0,元,12.0,7500.0,民营,500-999人,食品/饮料/酒水批发/零售/贸易,福州,马尾
http://www.zhaopin.com/jobdetail/CC385622410J40776004206.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,python后端开发工程师,1.2-1.3万,,,3-5年,本科,福州·台江·鳌峰,深圳市法本信息技术股份有限公司,上市公司 1000-9999人 软件/IT服务,吕先生·招聘专员,1小时内回复可能性大,12000.0,13000.0,万,12.0,12500.0,上市公司,1000-9999人,软件/IT服务,福州,台江
http://www.zhaopin.com/jobdetail/CC180936112J00452856504.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,Python开发工程师-福州,8000-15000元,Python Django Flask MySQL Oracle Redis,Python,3-5年,本科,福州·鼓楼·东街,中电福富信息科技有限公司,国企 1000-9999人 软件/IT服务,洪捷·招聘经理,今日活跃,8000.0,15000.0,元,12.0,11500.0,国企,1000-9999人,软件/IT服务,福州,鼓楼
http://www.zhaopin.com/jobdetail/CC277720610J40919060708.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,Java工程师(&Python),1-1.6万·13薪,Java Python Spring MySQL Redis PostgreSQL 若依框架,Java,5-10年,本科,福州·台江·宁化,福州捷盈计算机技术有限公司,民营 20-99人 软件/IT服务,李先生·技术总监,高回复率,10000.0,16000.0,万,13.0,13000.0,民营,20-99人,软件/IT服务,福州,台江
http://www.zhaopin.com/jobdetail/CCL1480117890J40734023605.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万·14薪,C# Java Python MySQL,C#,经验不限,本科,福州·仓山·金山,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,陈女士·招聘经理,高回复率,15000.0,30000.0,万,14.0,22500.0,合资,10000人以上,软件/IT服务,福州,仓山
http://www.zhaopin.com/jobdetail/CC700497020J40851362901.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,开发工程师B（国企）,8000-15000元·14薪,数据治理 ETL 数据仓库 Sql Java Shell Kafka Hadoop Flink,数据治理,3-5年,本科,福州·台江·鳌峰,福州迅腾信息技术有限公司,国企 100-299人 产业互联网平台,林女士·人事,高回复率,8000.0,15000.0,元,14.0,11500.0,国企,100-299人,产业互联网平台,福州,台江
http://www.zhaopin.com/jobdetail/CC385622410J40776217206.htm?refcode=4019&srccode=401903&preactionid=dea534a3-0edb-4210-ba54-52bed5c6e477,python开发,9000-14000元,Python Flask MySQL,Python,3-5年,本科,福州·台江·鳌峰,深圳市法本信息技术股份有限公司,上市公司 1000-9999人 软件/IT服务,赵女士·招聘主管,17小时前有回复,9000.0,14000.0,元,12.0,11500.0,上市公司,1000-9999人,软件/IT服务,福州,台江
